Columns,Question,Options,OptionsSet2,Response,Question type
MC1_Readonlinenewspapers,Consumption frequency ,Read online newspapers or magazines,,4,Single punch
MC1_Listentotraditionalr,Consumption frequency ,"Listen to traditional radio (e.g., AM, FM, etc.)",,5,Single punch
MC1_Listentoonlineradioe,Consumption frequency ,"Listen to online radio (e.g., Spotify, etc.)",,6,Single punch
MC1_UsetheInternet,Consumption frequency ,Use the Internet,,7,Single punch
MC1_Scrollsocialmedia,Consumption frequency ,Scroll social media,,8,Single punch
MC201, Consumed TV content,News,,1,Multi punch
MC202, Consumed TV content,Late Night Talk shows ,,2,Multi punch
MC203, Consumed TV content,Sports,,3,Multi punch
MC204, Consumed TV content,Crime shows,,4,Multi punch
MC205, Consumed TV content,Reality TV,,5,Multi punch
MC206, Consumed TV content,Sitcoms / Family,,6,Multi punch
MC207, Consumed TV content,Drama,,7,Multi punch
MC208, Consumed TV content,Movies,,8,Multi punch
MC209, Consumed TV content,Documentaries,,9,Multi punch
MC210, Consumed TV content,Nature,,10,Multi punch
MC211, Consumed TV content,None of these,,99,Multi punch
MC301,Type of consumed newspapers / magazines,Daily newspaper,,1,Multi punch
MC302,Type of consumed newspapers / magazines,Sports magazine ,,2,Multi punch
MC303,Type of consumed newspapers / magazines,Entertainment magazine,,3,Multi punch
MC304,Type of consumed newspapers / magazines,Business magazine,,4,Multi punch
MC305,Type of consumed newspapers / magazines,Something else,,5,Multi punch
MC306,Type of consumed newspapers / magazines,Daily newspaper,,6,Multi punch
MC307,Type of consumed newspapers / magazines,Sports magazine ,,7,Multi punch
MC308,Type of consumed newspapers / magazines,Entertainment magazine,,8,Multi punch
MC309,Type of consumed newspapers / magazines,Business magazine,,9,Multi punch
MC310,Type of consumed newspapers / magazines,Something else,,10,Multi punch
MC41,Consumed internet content,"Social media / messaging (e.g., Facebook, LinkedIn, Twitter, Instagram, WhatsApp)",,1,Multi punch
MC42,Consumed internet content,"News (e.g., daily, politics, sports, economy, culture)",,2,Multi punch
MC43,Consumed internet content,"Entertainment (e.g., YouTube, Netflix, Disney+, Spotify, Apple Music) ",,3,Multi punch
MC44,Consumed internet content,"Commercial Activities (e.g., shopping, making reservations, booking travel, selling goods / services)",,4,Multi punch
MC45,Consumed internet content,Email ,,5,Multi punch
MC46,Consumed internet content,Working Remotely,,6,Multi punch
MC47,Consumed internet content,"Financial Services (e.g., banking, investing, paying bills)",,7,Multi punch
MC48,Consumed internet content,"General search engine inquires (e.g., Google, Yahoo, Safari)",,8,Multi punch
MC49,Consumed internet content,None of these,,99,Multi punch
MC501,Which of these mobile applications do you regularly use? ,Social media app,,1,Multi punch
MC502,Which of these mobile applications do you regularly use? ,Music app,,2,Multi punch
MC503,Which of these mobile applications do you regularly use? ,Travel app,,3,Multi punch
MC504,Which of these mobile applications do you regularly use? ,Navigation app  ,,4,Multi punch
MC505,Which of these mobile applications do you regularly use? ,Maps app,,5,Multi punch
MC506,Which of these mobile applications do you regularly use? ,Health & Fitness app,,6,Multi punch
MC507,Which of these mobile applications do you regularly use? ,Gaming app,,7,Multi punch
MC508,Which of these mobile applications do you regularly use? ,Sports app,,8,Multi punch
MC509,Which of these mobile applications do you regularly use? ,Finance app,,9,Multi punch
MC510,Which of these mobile applications do you regularly use? ,Dating app,,10,Multi punch
MC511,Which of these mobile applications do you regularly use? ,Dining app  ,,11,Multi punch
MC512,Which of these mobile applications do you regularly use? ,Weather app,,12,Multi punch
MC513,Which of these mobile applications do you regularly use? ,Email app,,13,Multi punch
MC514,Which of these mobile applications do you regularly use? ,Messaging app,,14,Multi punch
MC515,Which of these mobile applications do you regularly use? ,Retail app,,15,Multi punch
MC516,Which of these mobile applications do you regularly use? ,None of these,,99,Multi punch
MC6_LinkedIn,How often do you use the below? ,LinkedIn,,1,Single punch
MC6_Facebook,How often do you use the below? ,Facebook,,2,Single punch
MC6_Twitter,How often do you use the below? ,Twitter,,3,Single punch
MC6_Instagram,How often do you use the below? ,Instagram,,4,Single punch
MC6_Pinterest,How often do you use the below? ,Pinterest,,5,Single punch
MC6_Snapchat,How often do you use the below? ,Snapchat,,6,Single punch
MC6_YouTube,How often do you use the below? ,YouTube,,7,Single punch
MC6_WhatsApp,How often do you use the below? ,WhatsApp,,8,Single punch
MC6_TikTok,How often do you use the below? ,TikTok,,9,Single punch
C101,Spare time,Cook / bake,,1,Multi punch
C102,Spare time,Go to the movies,,2,Multi punch
C103,Spare time,Go to a concert (in person or online),,3,Multi punch
C104,Spare time,Host parties or get-togethers,,4,Multi punch
C105,Spare time,Gamble / bet on sports,,5,Multi punch
C106,Spare time,"Take an in-person fitness class or training (e.g., Orange Theory, CrossFit, Yoga) ",,6,Multi punch
C107,Spare time,"Take an online fitness class or training (e.g., Peloton online, Daily Burn, Barre3) ",,7,Multi punch
C108,Spare time,"Exercise / work out individually (e.g., jogging, biking, gym)",,8,Multi punch
C109,Spare time,"Play console / PC video games (e.g., Xbox, PlayStation, Nintendo)",,9,Multi punch
C110,Spare time,Attend a sporting event,,10,Multi punch
C111,Spare time,Watch sporting events on TV,,11,Multi punch
C112,Spare time,Play sports,,12,Multi punch
C113,Spare time,Home improvement projects / Do-it-yourself,,13,Multi punch
C114,Spare time,Watch movies / TV at home,,14,Multi punch
C115,Spare time,Go on a date,,15,Multi punch
C116,Spare time,"Do nothing (e.g., relaxing, napping, staying in, not making any plans)",,16,Multi punch
C117,Spare time,Take a day trip somewhere,,17,Multi punch
C118,Spare time,"Yardwork (e.g., gardening, landscaping, lawncare)",,18,Multi punch
C119,Spare time,Hiking / camping,,19,Multi punch
C120,Spare time,Hunting / fishing,,20,Multi punch
C121,Spare time,None of these,,99,Multi punch
C201,Type of sport watched,Football,,1,Multi punch
C202,Type of sport watched,Soccer,,2,Multi punch
C203,Type of sport watched,Basketball,,3,Multi punch
C204,Type of sport watched,Tennis,,4,Multi punch
C205,Type of sport watched,Golf,,5,Multi punch
C206,Type of sport watched,Baseball,,6,Multi punch
C207,Type of sport watched,Ice Hockey,,7,Multi punch
C208,Type of sport watched,Motorsports,,8,Multi punch
C209,Type of sport watched,Volleyball,,9,Multi punch
C210,Type of sport watched,Other type of sport ,,88,Multi punch
C211,Type of sport watched,I don’t watch sports,,99,Multi punch
C3,What number of immigrant generation are you?, Hispanics Typing Tool,,"1,2,3,4,5",Single punch
C4,How long have you been living in the US?, Hispanics Typing Tool,,"1,2",Single punch
C5,What language do you speak with your family?, Hispanics Typing Tool,,"1,2,3,4,5",Single punch
C6,In what language do you watch TV?, Hispanics Typing Tool,,"1,2,3,4,5",Single punch
C7,Do you consider yourself…?, Hispanics Typing Tool,,"1,2,3,4,5,99",Single punch
C801,COUNTRY,Argentina                                           ,,1,Multi punch
C802,COUNTRY,Belize                                                   ,,2,Multi punch
C803,COUNTRY,Bolivia                                                  ,,3,Multi punch
C804,COUNTRY,Brazil                                                    ,,4,Multi punch
C805,COUNTRY,Chile                                                     ,,5,Multi punch
C806,COUNTRY,Colombia                                            ,,6,Multi punch
C807,COUNTRY,Costa Rica                                            ,,7,Multi punch
C808,COUNTRY,Cuba                                                      ,,8,Multi punch
C809,COUNTRY,Dominican Republic                        ,,9,Multi punch
C810,COUNTRY,Ecuador                                                ,,10,Multi punch
C811,COUNTRY,El Salvador                          ,,11,Multi punch
C812,COUNTRY,Guatemala                                          ,,12,Multi punch
C813,COUNTRY,Honduras                                            ,,13,Multi punch
C814,COUNTRY,Mexico                                                 ,,14,Multi punch
C815,COUNTRY,Nicaragua                                            ,,15,Multi punch
C816,COUNTRY,Panama                                                ,,16,Multi punch
C817,COUNTRY,Paraguay                                             ,,17,Multi punch
C818,COUNTRY,Peru                                                      ,,18,Multi punch
C819,COUNTRY,Puerto Rico                                         ,,19,Multi punch
C820,COUNTRY,Spain                                                     ,,20,Multi punch
C821,COUNTRY,Uruguay                                               ,,21,Multi punch
C822,COUNTRY,Venezuela,,22,Multi punch
C823,COUNTRY,Another country,,88,Multi punch
C9_Iliketoexperimentwit,Hispanics Typing Tool ,I like to experiment with making my own drinks,,1,Multi punch
C9_Ienjoytryingnewprodu,Hispanics Typing Tool ,I enjoy trying new products / flavors,,2,Multi punch
C9_Ifollowthelatestfood,Hispanics Typing Tool ,I follow the latest food or beverage trends,,3,Multi punch
C9_Iliketotravelfrequen,Hispanics Typing Tool ,I like to travel frequently and see new things,,4,Multi punch
C9_Iwanttotrynewthingsb,Hispanics Typing Tool ,I want to try new things before anyone else,,5,Multi punch
C9_Isupportbrandsthatsu,Hispanics Typing Tool ,I support brands that support the Hispanic community,,6,Multi punch
C9_Iampatrioticformycou,Hispanics Typing Tool ,I am patriotic for my country of origin (not USA),,7,Multi punch
C9_IampatrioticfortheUS,Hispanics Typing Tool ,I am patriotic for the USA,,8,Multi punch
C10,What is your marital status?,Marital Status,,"1,2,3,4,5,6,99",Single punch
C11,Employment status,Employment Status,,"1,2,3,4,5,6,7,88",Single punch
C12,What is the highest level of education you have completed?,Education,,"1,2,3",Single punch
C13,Would you consider where you live to be…? ,Living Area,,,
